cohort,coin,observations,coverage_pct,first_observation_utc,last_observation_utc,hours_stale_at_cutoff,positive_hours_pct,negative_hours_pct,simple_cumulative_funding_1x_pct,constant_2x_funding_pct_of_starting_equity,annualized_arithmetic_mean_1x_pct
core_crypto,SUI,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,64.3055555556,35.6944444444,0.5022331800,1.0044663600,2.0368345633
core_crypto,SUPER,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,79.8611111111,20.1388888889,-13.2148192500,-26.4296385000,-53.5934336250
core_crypto,SUSHI,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,63.3333333333,36.6666666667,-0.4981325900,-0.9962651800,-2.0202043928
core_crypto,SYRUP,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,99.3055555556,0.6944444444,2.9393784400,5.8787568800,11.9208125622
core_crypto,TAO,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,84.8148148148,15.1851851852,1.8453309600,3.6906619200,7.4838422267
core_crypto,TIA,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,58.8888888889,41.1111111111,0.0666127500,0.1332255000,0.2701517083
core_crypto,TNSR,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,85.1851851852,14.8148148148,-10.6295813500,-21.2591627000,-43.1088576972
core_crypto,TRB,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,97.4537037037,2.5462962963,2.5223308400,5.0446616800,10.2294528511
core_crypto,TRUMP,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,23.1944444444,76.8055555556,-10.6504847600,-21.3009695200,-43.1936326378
core_crypto,TRX,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,54.6296296296,45.3703703704,-2.9236904200,-5.8473808400,-11.8571889256
core_crypto,TURBO,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,61.6203703704,38.3796296296,-1.9200478400,-3.8400956800,-7.7868606844
core_crypto,UMA,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,71.2500000000,28.7500000000,-1.3742960100,-2.7485920200,-5.5735338183
core_crypto,UNI,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,89.1666666667,10.8333333333,1.9708360300,3.9416720600,7.9928350106
core_crypto,USUAL,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,80.6481481481,19.3518518519,0.2054210200,0.4108420400,0.8330963589
core_crypto,VINE,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,99.3055555556,0.6944444444,9.1044597700,18.2089195400,36.9236424006
core_crypto,VIRTUAL,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,75.6018518519,24.3981481481,0.6243416500,1.2486833000,2.5320522472
core_crypto,VVV,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,82.0833333333,17.9166666667,1.0168769900,2.0337539800,4.1240011261
core_crypto,W,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,59.5833333333,40.4166666667,-2.0511807300,-4.1023614600,-8.3186774050
core_crypto,WCT,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,91.8055555556,8.1944444444,1.8848167000,3.7696334000,7.6439788389
core_crypto,WIF,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,86.0185185185,13.9814814815,0.8876322400,1.7752644800,3.5998418622
core_crypto,WLD,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,65.7870370370,34.2129629630,-2.1238018700,-4.2476037400,-8.6131964728
core_crypto,XAI,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,59.8148148148,40.1851851852,-2.3956668800,-4.7913337600,-9.7157601244
core_crypto,XLM,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,70.2314814815,29.7685185185,0.2962607900,0.5925215800,1.2015020928
core_crypto,XRP,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,52.3148148148,47.6851851852,-0.0335341200,-0.0670682400,-0.1359994867
core_crypto,YGG,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,69.6759259259,30.3240740741,0.3288942000,0.6577884000,1.3338487000
core_crypto,ZEN,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,79.9074074074,20.0925925926,1.2937392300,2.5874784600,5.2468313217
